Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 02/01/2024 / Data final: 23/12/2024.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
23/12/2024;12,15;1,00045513;1.455.009.268.971,92;424;12,15;12,15;12,15;0,033;3.412,519;
20/12/2024;12,15;1,00045513;1.670.269.263.891,6;882;12,15;12,14;12,15;0,035;3.447,975;
19/12/2024;12,15;1,00045513;1.687.156.779.798,47;869;12,15;12,14;12,15;0,032;4.043,527;
18/12/2024;12,15;1,00045513;1.701.619.618.480;894;12,15;12,14;12,15;0,032;4.177,343;
17/12/2024;12,15;1,00045513;1.726.824.557.657,58;862;12,15;12,14;12,15;0,036;3.540,887;
16/12/2024;12,15;1,00045513;1.713.345.744.898,38;800;12,15;12,14;12,15;0,052;1.016,375;
13/12/2024;12,15;1,00045513;1.754.521.179.627,6;857;12,15;12,14;12,15;0,052;1.012,619;
12/12/2024;12,15;1,00045513;1.740.237.045.786,31;840;12,15;12,14;12,15;0,036;3.552,421;
11/12/2024;11,15;1,00041957;1.718.871.423.642,37;843;11,15;11,14;11,15;0,035;2.810,068;
10/12/2024;11,15;1,00041957;1.762.720.496.217,46;878;11,15;11,14;11,15;0,035;3.056,353;
09/12/2024;11,15;1,00041957;1.750.864.950.412,35;896;11,15;11,14;11,15;0,038;2.844,225;
06/12/2024;11,15;1,00041957;1.739.465.558.179,95;922;11,15;11,14;11,15;0,034;3.293,916;
05/12/2024;11,15;1,00041957;1.730.961.608.871,27;835;11,15;11,14;11,15;0,028;4.237,234;
04/12/2024;11,15;1,00041957;1.734.397.408.630,74;852;11,15;11,14;11,15;0,016;656,006;
03/12/2024;11,15;1,00041957;1.754.945.807.104,06;852;11,15;11,14;11,15;0,016;563,497;
02/12/2024;11,15;1,00041957;1.719.552.958.666,34;836;11,15;11,14;11,15;0,017;552,556;
29/11/2024;11,15;1,00041957;1.657.429.910.833,37;850;11,15;11,14;11,15;0,022;3.980,52;
28/11/2024;11,15;1,00041957;1.718.471.720.459,66;878;11,15;11,14;11,15;0,023;3.938,727;
27/11/2024;11,15;1,00041957;1.697.970.192.407,85;865;11,15;11,14;11,15;0,023;4.974,204;
26/11/2024;11,15;1,00041957;1.723.926.347.919,13;831;11,15;11,14;11,15;0,026;4.708,928;
25/11/2024;11,15;1,00041957;1.745.099.587.473,43;843;11,15;11,14;11,15;0,027;4.204,023;
22/11/2024;11,15;1,00041957;1.748.093.323.775,84;823;11,15;11,14;11,15;0,029;4.180,842;
21/11/2024;11,15;1,00041957;1.745.962.052.941,91;816;11,15;11,14;11,15;0,031;3.696,929;
19/11/2024;11,15;1,00041957;1.784.440.590.660,85;877;11,15;11,14;11,15;0,03;3.893,116;
18/11/2024;11,15;1,00041957;1.768.334.384.599,99;838;11,15;11,14;11,15;0,031;3.887,112;
14/11/2024;11,15;1,00041957;1.808.545.932.376,34;964;11,15;11,14;11,15;0,03;4.036,142;
13/11/2024;11,15;1,00041957;1.811.603.433.916,85;834;11,15;11,14;11,15;0,033;3.292,569;
12/11/2024;11,15;1,00041957;1.813.398.726.763,58;857;11,15;11,14;11,15;0,034;3.294,161;
11/11/2024;11,15;1,00041957;1.792.687.664.848,35;851;11,15;11,14;11,15;0,035;3.244,257;
08/11/2024;11,15;1,00041957;1.782.273.040.431,27;822;11,15;11,14;11,15;0,037;7.931,231;
07/11/2024;11,15;1,00041957;1.783.235.625.616,22;835;11,15;11,14;11,15;0,041;2.331,105;
06/11/2024;10,65;1,00040168;1.745.890.872.778,69;856;10,65;10,64;10,65;0,035;2.875,8;
05/11/2024;10,65;1,00040168;1.783.909.587.657,19;835;10,65;10,64;10,65;0,029;3.610,962;
04/11/2024;10,65;1,00040168;1.766.276.859.669,69;833;10,65;10,64;10,65;0,024;4.251,085;
